date,metric_name,chain_name,sum_of_usdt
2023-04-01,sum of usdt,statemine,3499755.734645
2023-04-01,sum of usdt,statemint,7998764.144702
2023-03-31,sum of usdt,statemine,3499755.734645
2023-03-31,sum of usdt,statemint,7998764.144702
2023-03-30,sum of usdt,statemine,3499755.734645
2023-03-30,sum of usdt,statemint,7998764.144702
2023-03-29,sum of usdt,statemine,3499755.734645
2023-03-29,sum of usdt,statemint,7998764.144702
2023-03-28,sum of usdt,statemine,3499755.734645
2023-03-28,sum of usdt,statemint,7998764.144702
2023-03-27,sum of usdt,statemine,3499755.734645
2023-03-27,sum of usdt,statemint,7998764.144702
2023-03-26,sum of usdt,statemine,3499755.734645
2023-03-26,sum of usdt,statemint,7998764.144702
2023-03-25,sum of usdt,statemine,3499755.734645
2023-03-25,sum of usdt,statemint,7998764.144702
2023-03-24,sum of usdt,statemine,3499755.734645
2023-03-24,sum of usdt,statemint,7998764.144702
2023-03-23,sum of usdt,statemine,3499755.734645
2023-03-23,sum of usdt,statemint,7998764.144702
2023-03-22,sum of usdt,statemine,3499755.734645
2023-03-22,sum of usdt,statemint,7998764.144702
2023-03-21,sum of usdt,statemine,3499755.734645
2023-03-21,sum of usdt,statemint,7998764.144702
2023-03-20,sum of usdt,statemine,3499755.734645
2023-03-20,sum of usdt,statemint,7998764.144702
2023-03-19,sum of usdt,statemine,3499755.734645
2023-03-19,sum of usdt,statemint,7998764.144702
2023-03-18,sum of usdt,statemine,3499755.735645
2023-03-18,sum of usdt,statemint,7998764.144702
2023-03-17,sum of usdt,statemine,3499755.735645
2023-03-17,sum of usdt,statemint,7998764.144702
2023-03-16,sum of usdt,statemine,3499755.735645
2023-03-16,sum of usdt,statemint,7998764.144702
2023-03-15,sum of usdt,statemine,3499755.735645
2023-03-15,sum of usdt,statemint,7998764.144702
2023-03-14,sum of usdt,statemine,3499755.735645
2023-03-14,sum of usdt,statemint,7998764.144702
2023-03-13,sum of usdt,statemine,3499755.735645
2023-03-13,sum of usdt,statemint,7998764.144702
2023-03-12,sum of usdt,statemine,3499755.735645
2023-03-12,sum of usdt,statemint,7998764.144702
2023-03-11,sum of usdt,statemine,3499755.735645
2023-03-11,sum of usdt,statemint,7998764.144702
2023-03-10,sum of usdt,statemine,3499755.735645
2023-03-10,sum of usdt,statemint,7998764.144702
2023-03-09,sum of usdt,statemine,3499755.735645
2023-03-09,sum of usdt,statemint,7998764.144702
2023-03-08,sum of usdt,statemine,3499755.735645
2023-03-08,sum of usdt,statemint,7998764.144702
2023-03-07,sum of usdt,statemine,3499755.735645
2023-03-07,sum of usdt,statemint,7998764.144702
2023-03-06,sum of usdt,statemine,3499755.735645
2023-03-06,sum of usdt,statemint,7998764.144702
2023-03-05,sum of usdt,statemine,3499755.735645
2023-03-05,sum of usdt,statemint,7998764.144702
2023-03-04,sum of usdt,statemine,3499755.735645
2023-03-04,sum of usdt,statemint,7998764.144702
2023-03-03,sum of usdt,statemine,3499755.735645
2023-03-03,sum of usdt,statemint,7998764.144702
2023-03-02,sum of usdt,statemine,3499755.735645
2023-03-02,sum of usdt,statemint,7998764.144702
2023-03-01,sum of usdt,statemine,3499755.735645
2023-03-01,sum of usdt,statemint,7998764.144702
2023-02-28,sum of usdt,statemine,3499755.735645
2023-02-28,sum of usdt,statemint,7998764.144702
2023-02-27,sum of usdt,statemine,3499755.735645
2023-02-27,sum of usdt,statemint,7998764.144702
2023-02-26,sum of usdt,statemine,3499755.735645
2023-02-26,sum of usdt,statemint,7998764.144702
2023-02-25,sum of usdt,statemine,3499755.735645
2023-02-25,sum of usdt,statemint,7998764.144702
2023-02-24,sum of usdt,statemine,3499834.277231
2023-02-24,sum of usdt,statemint,7998764.144702
2023-02-23,sum of usdt,statemine,3499834.277231
2023-02-23,sum of usdt,statemint,7998764.144702
2023-02-22,sum of usdt,statemine,3499917.072066
2023-02-22,sum of usdt,statemint,7998764.144702
2023-02-21,sum of usdt,statemine,3499917.072066
2023-02-21,sum of usdt,statemint,7998764.144702
2023-02-20,sum of usdt,statemine,3499917.072066
2023-02-20,sum of usdt,statemint,7998764.144702
2023-02-19,sum of usdt,statemine,3499917.072066
2023-02-19,sum of usdt,statemint,7998764.144702
2023-02-18,sum of usdt,statemine,3499917.072066
2023-02-18,sum of usdt,statemint,7998764.144702
2023-02-17,sum of usdt,statemine,3499917.072066
2023-02-17,sum of usdt,statemint,7998764.144702
2023-02-16,sum of usdt,statemine,3499917.570883
2023-02-16,sum of usdt,statemint,7998764.144702
2023-02-15,sum of usdt,statemine,3499917.570883
